first,second,primera,segunda,,
CG,RLadies,RLadies,CIDE-FEM,,
AEFA,CIDE-FEM,RLadies,MHM,,CIDE-FEM
RPPG,CECADEC,RLadies,CG,,MHM
CIDE-FEM,MHM,MHM,CIDE-FEM,,DIVERSX
CG,MHM,DIVERSX,Aquelarre,,Aquelarre
CIDE-FEM,CECADEC,MHM,IGNEA,,OVSGA
CECADEC,CTS,MHM,EO_UAA,,EO_UAA
MHM,El Diario,MHM,IGNEA,,IGNEA
MHM,CFA,MHM,CG,,CG
CECADEC,CFA,IGNEA,CG,,
CTS,CFA,IGNEA,CIDE-FEM,,
El Diario,DIVERSX,IGNEA,Aquelarre,,
CIA,MAL,IGNEA,MHM,,
El Diario,MAL,IGNEA,OVSGA,,
LJA,CFA,CG,CIDE-FEM,,
DIVERSX,CFA,CG,MHM,,
CFA,CECADEC,CG,DIVERSX,,
CFA,LJA,CG,Aquelarre,,
CFA,El Diario,CG,EO_UAA,,
CFA,EO_UAA,CG,IGNEA,,
CFA,CECADEC,CG,Cuerpax,,
CFA,MHM,CG,Mucha_Much,,
DIVERSX,Ser Gay,CG,Te_luna,,
MAL,El Diario,CG,Nombramos,,
MAL,LJA,Mucha_Much,MHM,,
CFA,MHM,Te_luna,MHM,,
CFA,UAA,Nombramos,MHM,,
FAMDI,VIDHA,,,,
Aquelarre,Aquelarre,,,,
VIDHA,FAMDI,,,,
OVSGA,El Diario,,,,
Red Trans,LJA,,,,
Ser Gay,Aquelarre,,,,
Ser Gay,CFA,,,,
LJA,Aquelarre,,,,
EO_UAA,OVSGA,,,,
UAA,UAA,,,,
FAMDI,CECADEC,,,,
CIDE-FEM,RLadies,,,,
EO_UAA,MHM,,,,
EO_UAA,Aquelarre,,,,
EO_UAA,MHM,,,,
EO_UAA,LJA,,,,
MAL,CFA,,,,
CFA,RLadies,,,,
RLadies,UAA,,,,
UAA,MAL,,,,
CFA,RLadies,,,,
RLadies,RLadies,,,,
CIA,IGNEA,,,,
IGNEA,IGNEA,,,,
IGNEA,MAL,,,,
IGNEA,CFA,,,,
OVSGA,EO_UAA,,,,
OVSGA,MAL,,,,
CIDE-FEM,RLadies,,,,
CIDE-FEM,MHM,,,,
CIDE-FEM,CG,,,,
CIDE-FEM,LJA,,,,
CIDE-FEM,EO_UAA,,,,
CIDE-FEM,IGNEA,,,,
Red Trans,CECADEC,,,,
Red Trans,CFA,,,,
Red Trans,LJA,,,,
Red Trans,FAMDI,,,,
Red Trans,Ser Gay,,,,
Red Trans,CTS,,,,
Red Trans,VIDHA,,,,
IGNEA,CECADEC,,,,
MAL,CECADEC,,,,
CG,CECADEC,,,,
LJA,CECADEC,,,,
EO_UAA,CECADEC,,,,
MHM,CECADEC,,,,
CG,CECADEC,,,,
CG,CFA,,,,
CG,CIDE-FEM,,,,
CG,CTS,,,,
CG,RLadies,,,,
CG,MHM,,,,
CG,LJA,,,,
